"ISSN";"Titulo";"Area";"Estrato"
"2475-2991";"CURRENT DEVELOPMENTS IN NUTRITION";"BIOTECNOLOGIA";"A2"
"1389-2002";"CURRENT DRUG METABOLISM";"BIOTECNOLOGIA";"B1"
"1389-4501";"CURRENT DRUG TARGETS (PRINT)";"BIOTECNOLOGIA";"A3"
"2662-8473";"CURRENT FOOD SCIENCE AND TECHNOLOGY REPORTS.(ONLINE)";"BIOTECNOLOGIA";"C"
"1936-377X";"CURRENT FUNGAL INFECTIONS REPORT";"BIOTECNOLOGIA";"B1"
"1566-5232";"CURRENT GENE THERAPY";"BIOTECNOLOGIA";"A3"
"0172-8083";"CURRENT GENETICS";"BIOTECNOLOGIA";"A4"
"1467-3037";"CURRENT ISSUES IN MOLECULAR BIOLOGY (PRINT)";"BIOTECNOLOGIA";"B1"
"0300-7995";"CURRENT MEDICAL RESEARCH AND OPINION";"BIOTECNOLOGIA";"A2"
"1573-4137";"CURRENT NANOSCIENCE";"BIOTECNOLOGIA";"A4"
"1570-159X";"CURRENT NEUROPHARMACOLOGY";"BIOTECNOLOGIA";"A1"
"1573-4013";"CURRENT NUTRITION AND FOOD SCIENCE";"BIOTECNOLOGIA";"B1"
"1359-0294";"CURRENT OPINION IN COLLOID & INTERFACE SCIENCE";"BIOTECNOLOGIA";"A1"
"2451-9103";"CURRENT OPINION IN ELECTROCHEMISTRY (IMPRESSO)";"BIOTECNOLOGIA";"A1"
"0951-7375";"CURRENT OPINION IN INFECTIOUS DISEASES";"BIOTECNOLOGIA";"A3"
"1570-1794";"CURRENT ORGANIC SYNTHESIS";"BIOTECNOLOGIA";"B1"
"1573-3963";"CURRENT PEDIATRIC REVIEWS";"BIOTECNOLOGIA";"A4"
"1381-6128";"CURRENT PHARMACEUTICAL DESIGN (PRINT)";"BIOTECNOLOGIA";"A3"
"1389-2037";"CURRENT PROTEIN AND PEPTIDE SCIENCE";"BIOTECNOLOGIA";"B1"
"2666-5182";"CURRENT RESEARCH IN BEHAVIORAL SCIENCES";"BIOTECNOLOGIA";"A4"
"2590-2628";"CURRENT RESEARCH IN BIOTECHNOLOGY";"BIOTECNOLOGIA";"A3"
"2590-2555";"CURRENT RESEARCH IN IMMUNOLOGY";"BIOTECNOLOGIA";"B2"
"2590-2571";"CURRENT RESEARCH IN PHARMACOLOGY AND DRUG DISCOVERY";"BIOTECNOLOGIA";"A1"
"2665-9441";"CURRENT RESEARCH IN PHYSIOLOGY";"BIOTECNOLOGIA";"B1"
"1573-3971";"CURRENT RHEUMATOLOGY REVIEWS";"BIOTECNOLOGIA";"B2"
"0011-3891";"CURRENT SCIENCE (BANGALORE)";"BIOTECNOLOGIA";"A4"
"0972-4796";"CURRENT TOPICS IN PHYTOCHEMISTRY";"BIOTECNOLOGIA";"B3"
"0973-8916";"CURRENT TRENDS IN BIOTECHNOLOGY AND PHARMACY";"BIOTECNOLOGIA";"B3"
"0972-4567";"CURRENT TRENDS IN IMMUNOLOGY";"BIOTECNOLOGIA";"B4"
"1573-4048";"CURRENT WOMEN'S HEALTH REVIEWS (PRINT)";"BIOTECNOLOGIA";"B1"
"1947-6345";"CYTA: JOURNAL OF FOOD (ONLINE)";"BIOTECNOLOGIA";"A3"
"1552-4922";"CYTOMETRY. PART A";"BIOTECNOLOGIA";"A1"
"0920-9069";"CYTOTECHNOLOGY (DORDRECHT)";"BIOTECNOLOGIA";"B1"
"1212-1819";"CZECH JOURNAL OF ANIMAL SCIENCE";"BIOTECNOLOGIA";"A4"
"1212-1800";"CZECH JOURNAL OF FOOD SCIENCES";"BIOTECNOLOGIA";"B1"
"2008-2231";"DARU JOURNAL OF PHARMACEUTICAL SCIENCES";"BIOTECNOLOGIA";"A2"
"2358-2545";"DENTAL PRESS ENDODONTICS (ONLINE)";"BIOTECNOLOGIA";"B4"
"2177-6709";"DENTAL PRESS JOURNAL OF ORTHODONTICS";"BIOTECNOLOGIA";"A4"
"0250-832X";"DENTO-MAXILLO-FACIAL RADIOLOGY";"BIOTECNOLOGIA";"A1"
"1076-0512";"DERMATOLOGIC SURGERY";"BIOTECNOLOGIA";"A2"
"1529-8019";"DERMATOLOGIC THERAPY";"BIOTECNOLOGIA";"A1"
"1018-8665";"DERMATOLOGY (BASEL)";"BIOTECNOLOGIA";"A1"
"2411-9660";"DESIGNS";"BIOTECNOLOGIA";"B1"
"1440-169X";"DEVELOPMENT, GROWTH & DIFFERENTIATION (ONLINE)";"BIOTECNOLOGIA";"A3"
"0012-1606";"DEVELOPMENTAL BIOLOGY (PRINT)";"BIOTECNOLOGIA";"A4"
"1178-7007";"DIABETES, METABOLIC SYNDROME AND OBESITY: TARGETS AND THERAPY";"BIOTECNOLOGIA";"A3"
"0168-8227";"DIABETES RESEARCH AND CLINICAL PRACTICE (PRINT)";"BIOTECNOLOGIA";"A1"
"1758-5996";"DIABETOLOGY & METABOLIC SYNDROME";"BIOTECNOLOGIA";"A2"
"2190-1686";"DIABETOLOGY INTERNATIONAL";"BIOTECNOLOGIA";"B1"
"2194-802X";"DIAGNOSIS";"BIOTECNOLOGIA";"A3"
"8755-1039";"DIAGNOSTIC CYTOPATHOLOGY (PRINT)";"BIOTECNOLOGIA";"B1"
"0031-7144";"DIE PHARMAZIE (BERLIN)";"BIOTECNOLOGIA";"B1"
"0963-8288";"DISABILITY AND REHABILITATION";"BIOTECNOLOGIA";"A2"
"1748-3115";"DISABILITY AND REHABILITATION: ASSISTIVE TECHNOLOGY";"BIOTECNOLOGIA";"A1"
"3004-894X";"DISCOVER ANIMALS (ONLINE)";"BIOTECNOLOGIA";"C"
"2731-4286";"DISCOVER FOOD (ONLINE)";"BIOTECNOLOGIA";"A3"
"1044-5498";"DNA AND CELL BIOLOGY";"BIOTECNOLOGIA";"A3"
"1568-7864";"DNA REPAIR (PRINT)";"BIOTECNOLOGIA";"A3"
"0012-4486";"DOCUMENTA OPHTHALMOLOGICA";"BIOTECNOLOGIA";"A3"
"0102-0110";"DOCUMENTOS (CENTRO NACIONAL DE RECURSOS GENÉTICOS E BIOTECNOLOGIA)";"BIOTECNOLOGIA";"B1"
"0739-7240";"DOMESTIC ANIMAL ENDOCRINOLOGY";"BIOTECNOLOGIA";"A1"
"2527-2616";"DRUG ANALYTICAL RESEARCH";"BIOTECNOLOGIA";"C"
"0363-9045";"DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY (PRINT)";"BIOTECNOLOGIA";"A2"
"1368-7646";"DRUG RESISTANCE UPDATES";"BIOTECNOLOGIA";"A1"
"1942-7611";"DRUG TESTING AND ANALYSIS";"BIOTECNOLOGIA";"A3"
"2813-2998";"DRUGS AND DRUG CANDIDATES";"BIOTECNOLOGIA";"C"
"1538-4667";"EAR & HEARING";"BIOTECNOLOGIA";"A1"
"2754-2734";"ECS ADVANCES";"BIOTECNOLOGIA";"C"
"1110-1768";"EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL";"BIOTECNOLOGIA";"A2"
"1388-2481";"ELECTROCHEMISTRY COMMUNICATIONS";"BIOTECNOLOGIA";"A2"
"2070-5948";"ELECTRONIC JOURNAL OF APPLIED STATISTICAL ANALYSIS";"BIOTECNOLOGIA";"B2"
"0717-3458";"ELECTRONIC JOURNAL OF BIOTECHNOLOGY";"BIOTECNOLOGIA";"A4"
"2516-3507";"ELECTRONIC JOURNAL OF GENERAL MEDICINE";"BIOTECNOLOGIA";"A2"
"0173-0835";"ELECTROPHORESIS (WEINHEIM. PRINT)";"BIOTECNOLOGIA";"A2"
"1469-221X";"EMBO REPORTS (PRINT)";"BIOTECNOLOGIA";"A1"
"2222-1751";"EMERGING MICROBES & INFECTIONS (ONLINE)";"BIOTECNOLOGIA";"A1"
"2473-0815";"ENDOCRINOLOGY & METABOLISM INTERNATIONAL JOURNAL";"BIOTECNOLOGIA";"B4"
"2050-0505";"ENERGY SCIENCE & ENGINEERING";"BIOTECNOLOGIA";"A2"
"2405-8297";"ENERGY STORAGE MATERIALS";"BIOTECNOLOGIA";"A1"
"2447-2034";"ENFERMAGEM ATUAL IN DERME";"BIOTECNOLOGIA";"B1"
"2667-3703";"ENGINEERING MICROBIOLOGY (ONLINE)";"BIOTECNOLOGIA";"A3"
"1944-7450";"ENVIONMETAL PROGRESS & SUSTAINABLE ENERGY";"BIOTECNOLOGIA";"A3"
"1098-2280";"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS (ONLINE)";"BIOTECNOLOGIA";"A3"
"0893-6692";"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS (PRINT)";"BIOTECNOLOGIA";"A3"
"1610-3653";"ENVIRONMENTAL CHEMISTRY LETTERS (PRINT)";"BIOTECNOLOGIA";"A1"
"1843-3707";"ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL (ONLINE)";"BIOTECNOLOGIA";"B2"
"2058-5888";"ENVIRONMENTAL EPIGENETICS (ONLINE)";"BIOTECNOLOGIA";"A2"
"1758-2229";"ENVIRONMENTAL MICROBIOLOGY REPORTS";"BIOTECNOLOGIA";"A1"
"2524-6372";"ENVIRONMENTAL MICROBIOME";"BIOTECNOLOGIA";"A1"
"1420-2026";"ENVIRONMENTAL MODELING & ASSESSMENT";"BIOTECNOLOGIA";"A3"
"2523-8922";"ENVIRONMENTAL SUSTAINABILITY";"BIOTECNOLOGIA";"A4"
"1479-487X";"ENVIRONMENTAL TECHNOLOGY";"BIOTECNOLOGIA";"A2"
"2673-3986";"EPIDEMIOLOGIA (ONLINE)";"BIOTECNOLOGIA";"C"
"2092-7193";"EPIDEMIOLOGY AND HEALTH";"BIOTECNOLOGIA";"A3"
"0950-2688";"EPIDEMIOLOGY AND INFECTION (PRINT)";"BIOTECNOLOGIA";"A4"
"1750-1911";"EPIGENOMICS";"BIOTECNOLOGIA";"A4"
"0013-9580";"EPILEPSIA (COPENHAGEN)";"BIOTECNOLOGIA";"A1"
"2312-0541";"ERJ OPEN RESEARCH";"BIOTECNOLOGIA";"A2"
"2375-1924";"ESM MEDICAL RESEARCH ARCHIVES (ONLINE)";"BIOTECNOLOGIA";"B2"
"2059-7029";"ESMO OPEN";"BIOTECNOLOGIA";"A1"
"1983-781X";"ESTUDOS (GOIÂNIA. ONLINE)";"BIOTECNOLOGIA";"B1"
"0937-4477";"EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY";"BIOTECNOLOGIA";"A1"
"2684-5199";"EUROPEAN JOURNAL OF BIOLOGY AND BIOTECHNOLOGY";"BIOTECNOLOGIA";"B1"
"2349-8870";"EUROPEAN JOURNAL OF BIOMEDICAL AND PHARMACEUTICAL SCIENCES";"BIOTECNOLOGIA";"C"
"0959-8278";"EUROPEAN JOURNAL OF CANCER PREVENTION";"BIOTECNOLOGIA";"A4"
"2736-5476";"EUROPEAN JOURNAL OF CLINICAL MEDICINE";"BIOTECNOLOGIA";"B1"
"0954-3007";"EUROPEAN JOURNAL OF CLINICAL NUTRITION";"BIOTECNOLOGIA";"A1"
"1476-5640";"EUROPEAN JOURNAL OF CLINICAL NUTRITION";"BIOTECNOLOGIA";"A1"
"2684-4443";"EUROPEAN JOURNAL OF DENTAL AND ORAL HEALTH";"BIOTECNOLOGIA";"C"
"2506-8016";"EUROPEAN JOURNAL OF ENGINEERING RESEARCH AND SCIENCE";"BIOTECNOLOGIA";"C"
"1388-9842";"EUROPEAN JOURNAL OF HEART FAILURE";"BIOTECNOLOGIA";"A1"
"1018-4813";"EUROPEAN JOURNAL OF HUMAN GENETICS";"BIOTECNOLOGIA";"A1"
"1438-9312";"EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY (INTERNET)";"BIOTECNOLOGIA";"A3"
"2047-783X";"EUROPEAN JOURNAL OF MEDICAL RESEARCH";"BIOTECNOLOGIA";"A3"
"2062-8633";"EUROPEAN JOURNAL OF MICROBIOLOGY AND IMMUNOLOGY";"BIOTECNOLOGIA";"A4"
"1351-5101";"EUROPEAN JOURNAL OF NEUROLOGY (PRINT)";"BIOTECNOLOGIA";"A1"
"1099-0690";"EUROPEAN JOURNAL OF ORGANIC CHEMISTRY (ONLINE)";"BIOTECNOLOGIA";"A3"
"2047-4873";"EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY";"BIOTECNOLOGIA";"A1"
"1746-1391";"EUROPEAN JOURNAL OF SPORT SCIENCE (PRINT)";"BIOTECNOLOGIA";"A1"
"1078-5884";"EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY";"BIOTECNOLOGIA";"A1"
"0905-9180";"EUROPEAN RESPIRATORY REVIEW";"BIOTECNOLOGIA";"A1"
"1128-3602";"EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES";"BIOTECNOLOGIA";"A3"
"2795-4498";"EUROPUB JOURNAL OF HEALTH RESEARCH";"BIOTECNOLOGIA";"B3"
"1519-5287";"EVIDÊNCIA (UNOESC)";"BIOTECNOLOGIA";"B2"
"1176-9343";"EVOLUTIONARY BIOINFORMATICS ONLINE";"BIOTECNOLOGIA";"A3"
"1535-3702";"EXPERIMENTAL BIOLOGY AND MEDICINE (MAYWOOD, N.J.: PRINT)";"BIOTECNOLOGIA";"A3"
"0014-4827";"EXPERIMENTAL CELL RESEARCH";"BIOTECNOLOGIA";"A3"
"1873-6815";"EXPERIMENTAL GERONTOLOGY";"BIOTECNOLOGIA";"A3"
"1090-2449";"EXPERIMENTAL PARASITOLOGY (ONLINE)";"BIOTECNOLOGIA";"B1"
"1469-445X";"EXPERIMENTAL PHYSIOLOGY";"BIOTECNOLOGIA";"A3"
"0958-0670";"EXPERIMENTAL PHYSIOLOGY (PRINT)";"BIOTECNOLOGIA";"A3"
"1471-2598";"EXPERT OPINION ON BIOLOGICAL THERAPY";"BIOTECNOLOGIA";"A2"
"1746-0441";"EXPERT OPINION ON DRUG DISCOVERY (PRINT)";"BIOTECNOLOGIA";"A1"
"1742-5255";"EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY";"BIOTECNOLOGIA";"A2"
"1744-7674";"EXPERT OPINION ON THERAPEUTIC PATENTS";"BIOTECNOLOGIA";"A1"
"1478-7210";"EXPERT REVIEW OF ANTI-INFECTIVE THERAPY";"BIOTECNOLOGIA";"A1"
"1751-2433";"EXPERT REVIEW OF CLINICAL PHARMACOLOGY";"BIOTECNOLOGIA";"A1"
"1478-9450";"EXPERT REVIEW OF PROTEOMICS (PRINT)";"BIOTECNOLOGIA";"A2"
"2667-2766";"EXPLORATORY RESEARCH IN CLINICAL AND SOCIAL PHARMACY";"BIOTECNOLOGIA";"A4"
"1555-0303";"FEDERAL PROBATION (ONLINE)";"BIOTECNOLOGIA";"B1"
"1574-6968";"FEMS MICROBIOLOGY LETTERS (ONLINE)";"BIOTECNOLOGIA";"B1"
"0168-6445";"FEMS MICROBIOLOGY REVIEWS (PRINT)";"BIOTECNOLOGIA";"A1"
"1567-1364";"FEMS YEAST RESEARCH (ONLINE)";"BIOTECNOLOGIA";"A4"
"2150-3508";"FISHERIES AND AQUACULTURE JOURNAL";"BIOTECNOLOGIA";"C"
"2458-942X";"FISHTAXA JOURNAL OF FISH TAXONOMY (ONLINE)";"BIOTECNOLOGIA";"A4"
"1518-9740";"FISIOTERAPIA BRASIL";"BIOTECNOLOGIA";"B2"
"2526-9747";"FISIOTERAPIA BRASIL (ONLINE)";"BIOTECNOLOGIA";"B2"
"0378-3812";"FLUID PHASE EQUILIBRIA";"BIOTECNOLOGIA";"A1"
"1518-2266";"FOA. REVISTA DA FACULDADE DE ODONTOLOGIA DE ANÁPOLIS";"BIOTECNOLOGIA";"C"
"2638-1095";"FOOD & NUTRITION";"BIOTECNOLOGIA";"B2"
"1944-0049";"FOOD ADDITIVES & CONTAMINANTS. PART A. CHEMISTRY, ANALYSIS, CONTROL, EXPOSURE & RISK ASSESSMENT (PRINT)";"BIOTECNOLOGIA";"A2"
"0954-0105";"FOOD AND AGRICULTURAL IMMUNOLOGY";"BIOTECNOLOGIA";"A2"
"1935-5149";"FOOD AND BIOPROCESS TECHNOLOGY (ONLINE)";"BIOTECNOLOGIA";"A1"
"0960-3085";"FOOD AND BIOPRODUCTS PROCESSING";"BIOTECNOLOGIA";"A1"
"1867-0334";"FOOD AND ENVIRONMENTAL VIROLOGY";"BIOTECNOLOGIA";"A2"
"2949-8244";"FOOD AND HUMANITY (ONLINE)";"BIOTECNOLOGIA";"C"
"2405-6766";"FOOD AND WATERBORNE PARASITOLOGY";"BIOTECNOLOGIA";"A1"
"0890-5436";"FOOD BIOTECHNOLOGY";"BIOTECNOLOGIA";"A4"
"2590-1575";"FOOD CHEMISTRY: X";"BIOTECNOLOGIA";"A1"
"2771-4683";"FOOD MATERIALS RESEARCH (ONLINE)";"BIOTECNOLOGIA";"B3"
"2661-8974";"FOOD PRODUCTION, PROCESSING AND NUTRITION";"BIOTECNOLOGIA";"A2"
"2550-2166";"FOOD RESEARCH";"BIOTECNOLOGIA";"B2"
"8755-9129";"FOOD REVIEWS INTERNATIONAL (PRINT)";"BIOTECNOLOGIA";"A1"
"2603-3380";"FOOD SCIENCE AND APPLIED BIOTECHNOLOGY";"BIOTECNOLOGIA";"B2"
"2717-5839";"FOOD SCIENCE AND ENGINEERING";"BIOTECNOLOGIA";"C"
"2965-1190";"FOOD SCIENCE TODAY (ONLINE)";"BIOTECNOLOGIA";"C"
"1535-3141";"FOODBORNE PATHOGENS AND DISEASE";"BIOTECNOLOGIA";"A1"
"1556-7125";"FOODBORNE PATHOGENS AND DISEASE";"BIOTECNOLOGIA";"A1"
"1872-4973";"FORENSIC SCIENCE INTERNATIONAL. GENETICS (PRINT)";"BIOTECNOLOGIA";"A1"
"1439-0329";"FOREST PATHOLOGY";"BIOTECNOLOGIA";"A3"
"1945-0516";"FRONTIERS IN BIOSCIENCE - SCHOLAR";"BIOTECNOLOGIA";"A4"
"1945-0508";"FRONTIERS IN BIOSCIENCE-ELITE";"BIOTECNOLOGIA";"A4"
"2297-055X";"FRONTIERS IN CARDIOVASCULAR MEDICINE";"BIOTECNOLOGIA";"A3"
"2673-7841";"FRONTIERS IN CATALYSIS";"BIOTECNOLOGIA";"C"
"2673-4915";"FRONTIERS IN DENTAL MEDICINE";"BIOTECNOLOGIA";"C"
"2674-0338";"FRONTIERS IN DRUG DISCOVERY (LAUSANNE)";"BIOTECNOLOGIA";"C"
"2296-598X";"FRONTIERS IN ENERGY RESEARCH";"BIOTECNOLOGIA";"C"
"2674-1121";"FRONTIERS IN FOOD SCIENCE AND TECHNOLOGY";"BIOTECNOLOGIA";"C"
"2813-7124";"FRONTIERS IN FRESHWATER SCIENCE (ONLINE)";"BIOTECNOLOGIA";"B3"
"2673-5059";"FRONTIERS IN GLOBAL WOMEN'S HEALTH";"BIOTECNOLOGIA";"A2"
"2813-4338";"FRONTIERS IN MICROBIOMES (ONLINE)";"BIOTECNOLOGIA";"C"
"2813-2602";"FRONTIERS IN NATURAL PRODUCTS (ONLINE)";"BIOTECNOLOGIA";"C"
"1662-5129";"FRONTIERS IN NEUROANATOMY";"BIOTECNOLOGIA";"A2"
"2673-4842";"FRONTIERS IN ORAL HEALTH";"BIOTECNOLOGIA";"C"
"2673-3153";"FRONTIERS IN REPRODUCTIVE HEALTH";"BIOTECNOLOGIA";"B1"
"2813-7116";"FRONTIERS IN RNA RESEARCH (ONLINE)";"BIOTECNOLOGIA";"B3"
"1662-5137";"FRONTIERS IN SYSTEMS NEUROSCIENCE";"BIOTECNOLOGIA";"A2"
"2673-818X";"FRONTIERS IN VIROLOGY";"BIOTECNOLOGIA";"B2"
"2664-777X";"FRONTIERS OF ORAL AND MAXILLOFACIAL MEDICINE";"BIOTECNOLOGIA";"C"
"0248-1294";"FRUITS (PARIS. IMPRIMÉ)";"BIOTECNOLOGIA";"B2"
"2673-3994";"FUELS";"BIOTECNOLOGIA";"C"
"1438-793X";"FUNCTIONAL & INTEGRATIVE GENOMICS (PRINT)";"BIOTECNOLOGIA";"A2"
"2595-9433";"FUNCTIONAL PLANT BREEDING JOURNAL";"BIOTECNOLOGIA";"B2"
"1472-8206";"FUNDAMENTAL & CLINICAL PHARMACOLOGY";"BIOTECNOLOGIA";"A3"
"2313-7525";"FUNDAMENTAL AND APPLIED RESEARCHES  IN PRACTICE OF LEADING SCIENTIFIC SCHOOLS";"BIOTECNOLOGIA";"B3"
"2054-3085";"FUNGAL BIOLOGY AND BIOTECHNOLOGY (ONLINE)";"BIOTECNOLOGIA";"A1"
"1087-1845";"FUNGAL GENETICS AND BIOLOGY (PRINT)";"BIOTECNOLOGIA";"A3"
"1479-6694";"FUTURE ONCOLOGY";"BIOTECNOLOGIA";"A3"
"2565-005X";"GACETA MEXICANA DE ONCOLOGÍA";"BIOTECNOLOGIA";"B2"
"2161-783X";"GAMES FOR HEALTH JOURNAL";"BIOTECNOLOGIA";"A1"
"2674-0923";"GARDP ANTIMICROBIAL VIEWPOINTS (ONLINE)";"BIOTECNOLOGIA";"C"
"2949-9089";"GAS SCIENCE AND ENGINEERING (ONLINE)";"BIOTECNOLOGIA";"A1"
"0016-5085";"GASTROENTEROLOGY (NEW YORK, N.Y. 1943)";"BIOTECNOLOGIA";"A1"
"2958-8820";"GASTROINTESTINAL TRACT (ONLINE)";"BIOTECNOLOGIA";"B4"
"1827-1812";"GAZZETTA MEDICA ITALIANA ARCHIVIO PER LE SCIENZE MEDICHE";"BIOTECNOLOGIA";"B2"
"2452-0144";"GENE REPORTS";"BIOTECNOLOGIA";"B2"
"1476-5462";"GENE THERAPY";"BIOTECNOLOGIA";"A2"
"0363-6771";"GENERAL DENTISTRY";"BIOTECNOLOGIA";"B1"
"1555-8932";"GENES & NUTRITION: A JOURNAL DEVOTED TO STUDY OF RELATIONSHIP BETWEEN GENETICS & NUTRITION FOR IMPROVEMENT OF HUMAN HEALTH";"BIOTECNOLOGIA";"A3"
"1943-2631";"GENETICS";"BIOTECNOLOGIA";"A3"
"1756-994X";"GENOME MEDICINE";"BIOTECNOLOGIA";"A1"
"2358-1972";"GEOGRAPHIA OPPORTUNO TEMPORE";"BIOTECNOLOGIA";"A3"
"0197-4572";"GERIATRIC NURSING (NEW YORK)";"BIOTECNOLOGIA";"A2"
"1444-1586";"GERIATRICS AND GERONTOLOGY INTERNATIONAL";"BIOTECNOLOGIA";"A2"
"2750-624X";"GERMAN JOURNAL OF PHARMACEUTICALS AND BIOMATERIALS (PRINT)";"BIOTECNOLOGIA";"B3"
"0734-0664";"GERODONTOLOGY";"BIOTECNOLOGIA";"A2"
"2333-7214";"GERONTOLOGY AND GERIATRIC MEDICINE";"BIOTECNOLOGIA";"B1"
"2509-2715";"GEROSCIENCE";"BIOTECNOLOGIA";"A1"
"2509-2723";"GEROSCIENCE (ONLINE)";"BIOTECNOLOGIA";"A1"
"2750-7165";"GESCHICHTSTHEORIE AM WERK";"BIOTECNOLOGIA";"B2"
"2056-6646";"GLOBAL CHALLENGES";"BIOTECNOLOGIA";"A1"
"2578-2762";"GLOBAL CLINICAL ENGINEERING JOURNAL";"BIOTECNOLOGIA";"B4"
"1916-9736";"GLOBAL JOURNAL OF HEALTH SCIENCE";"BIOTECNOLOGIA";"A4"
"1916-9744";"GLOBAL JOURNAL OF HEALTH SCIENCES (ONLINE)";"BIOTECNOLOGIA";"A4"
"0975-5888";"GLOBAL JOURNAL OF MEDICAL RESEARCH";"BIOTECNOLOGIA";"B3"
"0017-3495";"GRASAS Y ACEITES (SEVILLA)";"BIOTECNOLOGIA";"B1"
"2191-9550";"GREEN PROCESSING AND SYNTHESIS";"BIOTECNOLOGIA";"A2"
"0951-3590";"GYNECOLOGICAL ENDOCRINOLOGY";"BIOTECNOLOGIA";"A3"
"1592-8721";"HAEMATOLOGICA (ONLINE)";"BIOTECNOLOGIA";"A1"
"2578-501X";"HAEMATOLOGY INTERNATIONAL JOURNAL (ONLINE)";"BIOTECNOLOGIA";"B4"
"2468-0672";"HARDWAREX";"BIOTECNOLOGIA";"A3"
"1936-0568";"HEAD AND NECK PATHOLOGY (ONLINE)";"BIOTECNOLOGIA";"A1"
"1936-055X";"HEAD AND NECK PATHOLOGY (PRINT)";"BIOTECNOLOGIA";"A1"
"2178-7468";"HEADACHE MEDICINE";"BIOTECNOLOGIA";"C"
"0966-0410";"HEALTH & SOCIAL CARE IN THE COMMUNITY (PRINT)";"BIOTECNOLOGIA";"A2"
"2675-2913";"HEALTH RESIDENCIES JOURNAL";"BIOTECNOLOGIA";"B3"
"2966-0408";"HEALTH SCIENCES JOURNAL (ONLINE)";"BIOTECNOLOGIA";"B2"
"0147-9563";"HEART & LUNG";"BIOTECNOLOGIA";"A2"
"1382-4147";"HEART FAILURE REVIEWS";"BIOTECNOLOGIA";"A1"
"1443-9506";"HEART, LUNG AND CIRCULATION (PRINT)";"BIOTECNOLOGIA";"A3"
"1523-5378";"HELICOBACTER (ONLINE)";"BIOTECNOLOGIA";"A1"
"2572-9241";"HEMASPHERE";"BIOTECNOLOGIA";"A1"
"1099-1069";"HEMATOLOGICAL ONCOLOGY";"BIOTECNOLOGIA";"A3"
"2038-8330";"HEMATOLOGY REPORTS (ONLINE)";"BIOTECNOLOGIA";"C"
"1658-3876";"HEMATOLOGY/ONCOLOGY AND STEM CELL THERAPY";"BIOTECNOLOGIA";"A4"
"0363-0269";"HEMOGLOBIN";"BIOTECNOLOGIA";"B2"
"1499-3872";"HEPATOBILIARY AND PANCREATIC DISEASES INTERNATIONAL";"BIOTECNOLOGIA";"A3"
"2304-3881";"HEPATOBILIARY SURGERY AND NUTRITION";"BIOTECNOLOGIA";"A1"
"1414-6312";"HISTÓRIA REVISTA";"BIOTECNOLOGIA";"A2"
"0957-154X";"HISTORY OF PSYCHIATRY";"BIOTECNOLOGIA";"A4"
"0018-3830";"HOLZFORSCHUNG (BERLIN. PRINT)";"BIOTECNOLOGIA";"A2"
"1109-3099";"HORM-INT J ENDOCRINO";"BIOTECNOLOGIA";"A3"
"1663-2818";"HORMONE RESEARCH IN PAEDIATRICS";"BIOTECNOLOGIA";"A2"
"1868-8497";"HORMONES AND CANCER";"BIOTECNOLOGIA";"B2"
"0102-0536";"HORTICULTURA BRASILEIRA (IMPRESSO)";"BIOTECNOLOGIA";"A4"
"2211-3452";"HORTICULTURE, ENVIRONMENT AND BIOTECHNOLOGY (PRINT)";"BIOTECNOLOGIA";"A2"
"0960-3271";"HUMAN & EXPERIMENTAL TOXICOLOGY";"BIOTECNOLOGIA";"A3"
"2773-0441";"HUMAN GENE";"BIOTECNOLOGIA";"B3"
"0198-8859";"HUMAN IMMUNOLOGY";"BIOTECNOLOGIA";"A4"
"0964-6906";"HUMAN MOLECULAR GENETICS (PRINT)";"BIOTECNOLOGIA";"A3"
"1732-3991";"HUMAN MOVEMENT";"BIOTECNOLOGIA";"A4"
"1899-1955";"HUMAN MOVEMENT (ONLINE)";"BIOTECNOLOGIA";"A4"
"1059-7794";"HUMAN MUTATION";"BIOTECNOLOGIA";"A2"
"2673-4141";"HYDROGEN";"BIOTECNOLOGIA";"A3"
"0194-911X";"HYPERTENSION (DALLAS, TEX. 1979)";"BIOTECNOLOGIA";"A1"
"1064-1955";"HYPERTENSION IN PREGNANCY (PRINT)";"BIOTECNOLOGIA";"A4"
"0916-9636";"HYPERTENSION RESEARCH";"BIOTECNOLOGIA";"A2"
"1348-4214";"HYPERTENSION RESEARCH (ONLINE)";"BIOTECNOLOGIA";"A2"
"0018-9294";"IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING";"BIOTECNOLOGIA";"A1"
"2168-2291";"IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS";"BIOTECNOLOGIA";"A2"
