"ISSN";"Titulo";"Area";"Estrato"
"1582-7445";"ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2357-8181";"ADVANCES IN FORESTRY SCIENCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2965-3339";"ADVANCES IN GLOBAL INNOVATION & TECHNOLOGY (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"2148-7316";"ADVANCES IN HOSPITALITY AND TOURISM RESEARCH (AHTR) (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"2523-3106";"ADVANCES IN RHEUMATOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1983-8611";"ADVANCES IN SCIENTIFIC & APPLIED ACCOUNTING";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
"2055-0286";"ADVANCES IN SOCIAL SCIENCES RESEARCH JOURNAL";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1808-883X";"ADVÉRBIO (FAG)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1984-5634";"AEDOS: REVISTA DO CORPO DISCENTE DO PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA DA UFRGS (ONLINE)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1991-637X";"AFRICAN JOURNAL OF AGRICULTURAL RESEARCH";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"1684-5315";"AFRICAN JOURNAL OF BIOTECHNOLOGY";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1993-8233";"AFRICAN JOURNAL OF BUSINESS MANAGEMENT";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1996-0794";"AFRICAN JOURNAL OF FOOD SCIENCE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"0163-5158";"AGEING INTERNATIONAL";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A4"
"2318-8499";"AGENDA POLÍTICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1360-7863";"AGING & MENTAL HEALTH (PRINT)";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"2237-9010";"ÁGORA : REVISTA DE DIVULGAÇÃO CIENTÍFICA";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"2763-9045";"ÁGORA: ARQUIVOLOGIA EM DEBATE";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"A3"
